2/7/2018,,Gopher State Events Cross-Country Results,,,,,,,,
,Gopher State Events,,,,,,,,,
,GSE Nordic Ski Results,,,,,,,,,
,Meet:,,,,,,,,,
,Section 8 Classic Pursuit (2/6/2018),,,,,,,,,
,View This Meet,,,,,,,,,
,Race:,,,,,,,,,
,Boys Classic,,,,,,,,,
,Get Results,,,,,,,,,
,PRELIMINARY RESULTS...UNOFFICIAL...SUBJECT TO CHANGE. Please report any issues to,,,,,,,,,
,bob.schneider@gopherstateevents.com.,,,,,,,,,
,Technique: Classical, Total Finishers: 139, Race Finishers: 70, Distance: 5 kms, Site/Location: Camp Ripley,,,,,
,Results By Team, Download,,,,,,,,
,Team Results: Top 4 Per Team,,,,,,,,,
,Pl,Team,Score,R1,R2,R3,R4,R5,R6,R7
,1,Cathedral-Sartell,386,1,4,5,8,21,38,41
,2,Little Falls,375,2,3,11,13,18,23,36
,3,Brainerd,349,6,9,14,26,35,42,43
,4,Bemidji,345,7,16,17,19,22,32,33
,5,St Cloud Tech,313,10,20,30,31,37,40,45
,6,Alexandria,310,15,24,27,28,29,34,46
,7,Moorhead,280,12,25,39,48,49,50,51
,8,Detroit Lakes,195,47,53,54,55,58,59,62
,9,Willmar,163,56,57,63,65,67,68,70
,10,St. Cloud Apollo,118,52,64,69,,,,
,11,Otter Tail Nordic,98,44,60,,,,,
,12,Trek North,75,61,66,,,,,
,Individual Results,,,,,,,,,
http://www.gopherstateevents.com/results/cc_rslts/cc_rslts.asp?sport=Nordic%20Ski&meet_id=455&rslts_page=overall_rslts.asp&show_indiv=n,,,,,,,,,1/4,
2/7/2018,,,Gopher State Events Cross-Country Results,,,,,
Place,Bib-Name,Gr,Team,Comb Time,Freestyle,,Classical,
19),524-Nick Youso,9,Bemidji,30:44.600,24,15:38.000,15,15:06.600
20),523-Matthew Thormodson,12,St Cloud Tech,30:44.500,23,15:35.000,17,15:09.500
21),520-David Anderson,12,Cathedral-Sartell,30:50.300,20,15:18.000,20,15:32.300
22),518-NIck Palmer,12,Bemidji,30:51.500,18,15:08.000,22,15:43.500
23),522-Brett Gottwalt,10,Little Falls,31:23.300,21,15:24.000,25,15:59.300
24),521-Noah Struck,11,Alexandria,31:39.900,22,15:24.000,34,16:15.900
25),526-Jack Lee,10,Moorhead,31:58.800,26,15:46.000,31,16:12.800
26),527-Ben Renner,11,Brainerd,31:59.200,27,15:46.000,32,16:13.200
27),535-Shaun Mateer,12,Alexandria,32:00.400,35,16:13.000,23,15:47.400
28),530-Kyle Vandertuin,12,Alexandria,32:00.600,30,16:00.000,26,16:00.600
29),529-Nolan Christenson,12,Alexandria,32:04.700,29,15:51.000,33,16:13.700
http://www.gopherstateevents.com/results/cc_rslts/cc_rslts.asp?sport=Nordic%20Ski&meet_id=455&rslts_page=overall_rslts.asp&show_indiv=n,,,,,,,,2/4
2/7/2018,,,Gopher State Events Cross-Country Results,,,,,
30),537-Noah Fuller,11,St Cloud Tech,32:14.400,36,16:24.000,24,15:50.400
,Gopher State Events,,,,,,,
31),531-Luke Lindhorst,11,St Cloud Tech,32:21.600,33,16:09.000,30,16:12.600
32),532-Tommoy Saxton,12,Bemidji,32:27.000,31,16:09.000,35,16:18.000
33),528-Sam Hodgson,12,Bemidji,32:28.900,28,15:50.000,38,16:38.900
34),538-CJ Schlosser,12,Alexandria,32:38.800,38,16:31.000,29,16:07.800
35),541-Gus Robinson,12,Brainerd,32:41.900,41,16:37.000,28,16:04.900
36),533-Jonah Ploof,12,Little Falls,32:50.000,32,16:09.000,39,16:41.000
37),545-Ian Fuller,12,St Cloud Tech,33:00.800,45,16:56.000,27,16:04.800
38),511-Riley Halstrom,11,Cathedral-Sartell,33:10.400,11,14:49.000,55,18:21.400
39),540-Dawson Strom,11,Moorhead,33:13.600,40,16:36.000,37,16:37.600
40),536-Gunnar Bodvarsson,12,St Cloud Tech,33:17.300,37,16:24.000,41,16:53.300
41),534-Hayden Roeloffs,10,Cathedral-Sartell,33:28.800,34,16:11.000,48,17:17.800
42),539-Nick Whiteman,10,Brainerd,33:29.800,39,16:34.000,42,16:55.800
43),544-Alex Rice,12,Brainerd,33:55.600,44,16:55.000,44,17:00.600
44),546-Caleb Danielson,11,Otter Tail Nordic,33:56.600,46,16:57.000,43,16:59.600
45),543-Karl Schroeder,9,St Cloud Tech,34:08.700,43,16:51.000,47,17:17.700
46),542-Patrick Lovrien,12,Alexandria,34:09.600,42,16:47.000,50,17:22.600
47),549-Aaron Oakes,11,Detroit Lakes,34:09.600,50,17:37.000,36,16:32.600
48),548-Josh Hagen,11,Moorhead,34:08.900,48,17:27.000,40,16:41.900
49),550-Elijah Harvala,9,Moorhead,34:48.800,49,17:37.000,46,17:11.800
50),553-Michael Thibert,12,Moorhead,35:11.900,53,18:11.000,45,17:00.900
51),551-Lawrence Wirries,11,Moorhead,35:17.500,51,17:58.000,49,17:19.500
52),547-Andrew Theisen,10,St. Cloud Apollo,35:21.300,47,17:27.000,53,17:54.300
53),554-Jack Richards,12,Detroit Lakes,35:55.400,54,18:19.000,51,17:36.400
54),557-John Bergum,8,Detroit Lakes,36:37.300,57,18:56.000,52,17:41.300
55),558-Ryan Bergum,8,Detroit Lakes,37:10.800,58,19:16.000,54,17:54.800
56),556-Andrew Haugen,11,Willmar,38:38.000,56,18:46.000,59,19:52.000
57),555-Daniel Halvorson,10,Willmar,38:45.000,55,18:38.000,62,20:07.000
58),561-Jacob Trout,9,Detroit Lakes,38:55.300,61,19:53.000,56,19:02.300
59),560-Casey Parks,8,Detroit Lakes,39:03.700,60,19:52.000,57,19:11.700
60),559-Kolsen Papon,9,Otter Tail Nordic,39:18.500,59,19:41.000,58,19:37.500
http://www.gopherstateevents.com/results/cc_rslts/cc_rslts.asp?sport=Nordic%20Ski&meet_id=455&rslts_page=overall_rslts.asp&show_indiv=n,,,,,,,,3/4
2/7/2018,,,Gopher State Events Cross-Country Results,,,,,
61),562-David Carlson,9,Trek North,40:27.700,62,20:33.000,60,19:54.700
,Gopher State Events,,,,,,,
62),563-Noah Borah,9,Detroit Lakes,41:17.000,63,20:51.000,63,20:26.000
63),565-Marquis Christenson,11,Willmar,41:35.900,65,21:36.000,61,19:59.900
64),552-ETHAN LOGEMAN,9,St. Cloud Apollo,41:39.700,52,18:03.000,66,23:36.700
65),564-Marcus Ornelas,10,Willmar,41:58.800,64,21:18.000,64,20:40.800
66),567-Blake Bergeson,11,Trek North,45:05.400,67,23:11.000,65,21:54.400
67),566-Ethan Haines,12,Willmar,48:01.300,66,22:32.000,69,25:29.300
68),568-Erik Heen,12,Willmar,50:51.900,68,25:49.000,68,25:02.900
69),569-PETER DOROFF,10,St. Cloud Apollo,52:26.800,69,27:28.000,67,24:58.800
70),570-Connor Olson,12,Willmar,58:23.400,70,30:32.000,70,27:51.400
http://www.gopherstateevents.com/results/cc_rslts/cc_rslts.asp?sport=Nordic%20Ski&meet_id=455&rslts_page=overall_rslts.asp&show_indiv=n,,,,,,,,4/4
