2/8/2018,,Gopher State Events Cross-Country Results,,,,,,,,
,Gopher State Events,,,,,,,,,
,GSE Nordic Ski Results,,,,,,,,,
,Meet:,,,,,,,,,
,Section 5 Skate Pursuit (2/7/2018),,,,,,,,,
,View This Meet,,,,,,,,,
,Race:,,,,,,,,,
,Boys SkatePursuit,,,,,,,,,
,Get Results,,,,,,,,,
,PRELIMINARY RESULTS...UNOFFICIAL...SUBJECT TO CHANGE. Please report any issues to,,,,,,,,,
,bob.schneider@gopherstateevents.com.,,,,,,,,,
,Technique: Freestyle, Total Finishers: 159, Race Finishers: 83, Distance: 5 kms, Site/Location: Theodore Wirth,,,,,
,Results By Team, Download,,,,,,,,
,Team Results: Top 4 Per Team,,,,,,,,,
,Pl,Team,Score,R1,R2,R3,R4,R5,R6,R7
,1,Mora,377,1,6,9,11,34,45,
,2,Blaine,359,2,7,15,21,31,56,66
,3,Champlin Park,337,8,10,23,26,32,35,37
,4,Andover,325,5,19,27,28,36,44,54
,5,Maple Grove,320,4,12,22,46,48,51,53
,6,Elk River,317,13,16,25,33,61,63,83
,7,Coon Rapids,299,18,20,24,43,52,57,59
,8,Rogers,261,17,39,40,47,55,77,82
,9,Osseo,250,14,29,49,62,65,68,75
,10,Anoka,244,30,38,42,50,58,60,64
,11,Spring Lake Park,191,3,67,71,72,76,78,81
,12,Park Center,151,41,69,70,73,74,79,80
,Individual Results,,,,,,,,,
http://www.gopherstateevents.com/results/cc_rslts/cc_rslts.asp?sport=Nordic%20Ski&meet_id=454&rslts_page=overall_rslts.asp&show_indiv=n,,,,,,,,,1/4,
2/8/2018,,,Gopher State Events Cross-Country Results,,,,,
Place,Bib-Name,Gr,Team,Comb Time,Classical,,Freestyle,
21),218-Michael Symanski,12,Blaine,34:39.000,18,18:24.000,20,16:15.000
22),225-Tyler Burkum,11,Maple Grove,35:09.700,25,19:09.000,18,16:00.700
23),220-Arik Spaude,12,Champlin Park,35:15.600,20,18:30.000,26,16:45.600
24),226-Jared Heida,10,Coon Rapids,35:25.000,26,19:10.000,21,16:15.000
25),224-Jadon Purcell,10,Elk River,35:25.600,24,19:02.000,22,16:23.600
26),223-Connor Janostin,12,Champlin Park,35:51.800,23,18:45.000,34,17:06.800
27),231-Carter Weinzierl,12,Andover,36:08.400,31,19:33.000,25,16:35.400
28),228-Joe Huffman,12,Andover,36:19.300,28,19:14.000,33,17:05.300
29),227-Vaughn Thomas,12,Osseo,36:27.700,27,19:12.000,36,17:15.700
http://www.gopherstateevents.com/results/cc_rslts/cc_rslts.asp?sport=Nordic%20Ski&meet_id=454&rslts_page=overall_rslts.asp&show_indiv=n,,,,,,,,2/4
2/8/2018,,,Gopher State Events Cross-Country Results,,,,,
30),229-Sean Neeser,12,Anoka,36:32.200,29,19:18.000,35,17:14.200
,Gopher State Events,,,,,,,
31),234-Phillip Marquardt,11,Blaine,36:34.100,34,19:45.000,27,16:49.100
32),232-Connor Preston,10,Champlin Park,36:34.500,32,19:40.000,28,16:54.500
33),230-Carson Pixley,12,Elk River,36:36.300,30,19:31.000,32,17:05.300
34),236-Wilson Krueger,11,Mora,36:52.600,36,19:58.000,29,16:54.600
35),238-Tim Urvig,12,Champlin Park,37:02.300,38,20:05.000,30,16:57.300
36),233-Tim Meados,11,Andover,37:07.000,33,19:41.000,40,17:26.000
37),235-Zac Oldroyd,10,Champlin Park,37:24.500,35,19:53.000,44,17:31.500
38),242-Josh Meinert,11,Anoka,37:37.200,42,20:16.000,37,17:21.200
39),239-Tyler Davis,11,Rogers,37:40.100,39,20:10.000,43,17:30.100
40),241-Kenneth Peterson,12,Rogers,37:48.300,41,20:15.000,45,17:33.300
41),255-Jonathan Christianson,10,Park Center,37:50.000,54,20:51.000,31,16:59.000
42),251-Jackson Hauge,11,Anoka,38:05.200,50,20:39.000,41,17:26.200
43),240-Nick Jorgenson,11,Coon Rapids,38:06.600,40,20:14.000,53,17:52.600
44),244-Caden Hartle,10,Andover,38:13.200,44,20:25.000,50,17:48.200
45),237-Nick Hippen,11,Mora,38:13.400,37,20:04.000,59,18:09.400
46),249-Gideon Heroux,10,Maple Grove,38:18.200,49,20:35.000,48,17:43.200
47),247-Alex Heidorn,9,Rogers,38:23.800,47,20:34.000,51,17:49.800
48),248-Charlie Caven,10,Maple Grove,38:24.800,48,20:35.000,52,17:49.800
49),253-Michael Hamel,11,Osseo,38:25.800,52,20:44.000,46,17:41.800
50),256-Anthony Hagerty,12,Anoka,38:25.600,55,21:00.000,39,17:25.600
51),243-Sam Fjellman,10,Maple Grove,38:26.600,43,20:17.000,60,18:09.600
52),257-Noah Christiansen,10,Coon Rapids,38:27.000,56,21:02.000,38,17:25.000
53),246-Blake Iverson,12,Maple Grove,38:27.200,46,20:33.000,55,17:54.200
54),245-Calvin Fiala,9,Andover,38:34.200,45,20:33.000,58,18:01.200
55),252-Joseph Reshetar,10,Rogers,38:40.200,51,20:40.000,57,18:00.200
56),254-Nathan Smith,10,Blaine,38:46.800,53,20:47.000,56,17:59.800
57),260-Joshua Thoen,8,Coon Rapids,38:52.500,59,21:07.000,49,17:45.500
58),265-Daniel Pelletier,11,Anoka,38:57.500,64,21:30.000,42,17:27.500
59),259-Caleb Chesser,9,Coon Rapids,39:22.400,58,21:05.000,62,18:17.400
60),266-Josh Brand,12,Anoka,39:34.700,65,21:41.000,54,17:53.700
http://www.gopherstateevents.com/results/cc_rslts/cc_rslts.asp?sport=Nordic%20Ski&meet_id=454&rslts_page=overall_rslts.asp&show_indiv=n,,,,,,,,3/4
2/8/2018,,,Gopher State Events Cross-Country Results,,,,,
61),258-Mitchell Muniz,11,Elk River,39:37.100,57,21:03.000,64,18:34.100
,Gopher State Events,,,,,,,
62),268-Andrew Witters,10,Osseo,39:55.600,67,21:43.000,61,18:12.600
63),262-Espen Olsen,12,Elk River,40:03.400,61,21:21.000,66,18:42.400
64),261-Alex Lee,12,Anoka,40:07.100,60,21:20.000,68,18:47.100
65),264-Jake Eich,11,Osseo,40:13.600,63,21:28.000,67,18:45.600
66),274-Matthew Morton,12,Blaine,40:18.100,73,22:35.000,47,17:43.100
67),269-Owen Erickson,9,Spring Lake Park,40:28.500,68,22:10.000,63,18:18.500
68),263-Nicholas Trzynka,9,Osseo,40:59.900,62,21:21.000,70,19:38.900
69),273-Cole Beattie,9,Park Center,41:13.800,72,22:33.000,65,18:40.800
70),267-Josh Reed,10,Park Center,41:26.600,66,21:42.000,72,19:44.600
71),270-Alex Knutson,10,Spring Lake Park,42:14.800,69,22:17.000,74,19:57.800
72),272-Collin Lief,8,Spring Lake Park,42:23.600,71,22:29.000,73,19:54.600
73),283-Johnathan Ernst,11,Park Center,43:15.200,82,24:09.000,69,19:06.200
74),276-Joel Nathe,10,Park Center,43:25.000,75,23:19.000,76,20:06.000
75),271-Darian Clark,12,Osseo,43:25.600,70,22:23.000,81,21:02.600
76),281-Milo Keyes,8,Spring Lake Park,43:40.800,80,24:00.000,71,19:40.800
77),278-Hayden O'Connor,9,Rogers,43:42.300,77,23:27.000,78,20:15.300
78),277-Luke Elsesser,8,Spring Lake Park,43:52.800,76,23:23.000,79,20:29.800
79),279-Nate Courchane,9,Park Center,43:57.800,78,23:46.000,77,20:11.800
80),280-Michael Stansberry,12,Park Center,44:03.100,79,23:59.000,75,20:04.100
81),275-Mark Droessler,11,Spring Lake Park,44:20.900,74,22:55.000,82,21:25.900
82),282-Andy Huber,8,Rogers,44:55.100,81,24:01.000,80,20:54.100
83),284-Matthew Binsfeld,8,Elk River,46:55.300,83,24:59.000,83,21:56.300
http://www.gopherstateevents.com/results/cc_rslts/cc_rslts.asp?sport=Nordic%20Ski&meet_id=454&rslts_page=overall_rslts.asp&show_indiv=n,,,,,,,,4/4
