Mesabi East Invitational 2018,,,,,,,,
Boys Varsity,,,,,,,,
Rank,Bib,Name,Team,Technique,Time,Pace,Time Back,Points
Rank,Bib,Name,Team,Technique,Time,Pace,Time Back,Points
28,10,Julien Malherbe,Superiorland,Classic,0:17:09.5,3:25 Min/Km,1:54.0,115
29,65,Jackson Grant,Little Falls High School,Classic,0:17:09.9,3:25 Min/Km,1:54.4,114
30,22,Peter Carlen,Minnehaha Academy,Classic,0:17:10.8,3:26 Min/Km,1:55.3,113
31,81,Nils Eckstrom,Hayward Nordic Ski Team,Classic,0:17:13.6,3:26 Min/Km,1:58.2,112
32,7,Thomas Golin,Wayzata,Classic,0:17:16.4,3:27 Min/Km,2:00.9,111
33,67,Seth Kemp,Duluth East HS,Classic,0:17:17.8,3:27 Min/Km,2:02.3,110
34,60,Maxim Osborne,Brainerd,Classic,0:17:21.0,3:28 Min/Km,2:05.5,109
35,37,Noah Adams,Elk River/Zimmerman,Classic,0:17:26.8,3:29 Min/Km,2:11.3,108
36,19,Ben Boelter,Cathedral High School,Classic,0:17:27.1,3:29 Min/Km,2:11.6,107
37,151,Cormac Shanoff,Little Falls High School,Classic,0:17:30.2,3:30 Min/Km,2:14.7,
38,2,Isak Nightingale,Mounds Park Academy,Classic,0:17:30.3,3:30 Min/Km,2:14.9,105
39,46,Henry Campbell,Marshall Nordic Ski Team,Classic,0:17:31.8,3:30 Min/Km,2:16.3,104
40,92,Blake Weiss,Andover High School,Classic,0:17:31.9,3:30 Min/Km,2:16.4,103
41,20,Mitch Zandaroski,Coon Rapids High School,Classic,0:17:35.8,3:31 Min/Km,2:20.4,102
42,23,Jack Osborne,Math & Science Academy,Classic,0:17:36.9,3:31 Min/Km,2:21.5,101
43,54,Nick Youso,Bemidji High School,Classic,0:17:38.8,3:31 Min/Km,2:23.3,100
44,71,Matt Humbert,Mound Westonka High School,Classic,0:17:39.9,3:31 Min/Km,2:24.4,99
45,1,Ethan Hasz,Ely HS,Classic,0:17:41.2,3:32 Min/Km,2:25.8,98
46,83,Galen Resh Chimner,Copper Country Ski Tigers,Classic,0:17:42.0,3:32 Min/Km,2:26.5,97
47,95,Sam Smith,Wayzata,Classic,0:17:44.1,3:32 Min/Km,2:28.7,96
48,147,Dylan Winchester,Hayward Nordic Ski Team,Classic,0:17:45.8,3:33 Min/Km,2:30.3,95
49,44,Jon Martin,Hayward Nordic Ski Team,Classic,0:17:46.5,3:33 Min/Km,2:31.0,
50,120,Jordan Woods,Mora Ski Club,Classic,0:17:56.6,3:35 Min/Km,2:41.1,
51,78,Jackson Pope,Minnehaha Academy,Classic,0:18:03.6,3:36 Min/Km,2:48.2,92
52,31,Zachery Skoe,Bemidji High School,Classic,0:18:09.0,3:37 Min/Km,2:53.5,91
53,51,Sean Hunwardsen,Hopkins,Classic,0:18:10.8,3:38 Min/Km,2:55.3,90
54,104,Joe Lee,Roseville Area High School,Classic,0:18:13.5,3:38 Min/Km,2:58.1,89
55,86,Riley Halstrom,Cathedral High School,Classic,0:18:18.2,3:39 Min/Km,3:02.7,88
56,94,Nathan Hohenshell,Mounds View High School,Classic,0:18:19.5,3:39 Min/Km,3:04.0,87
57,33,Sean Neeser,Anoka High Schoo,Classic,0:18:19.8,3:39 Min/Km,3:04.3,86
,,,,,,,,2
Mesabi East Invitational 2018,,,,,,,,
Boys Varsity,,,,,,,,
Rank,Bib,Name,Team,Technique,Time,Pace,Time Back,Points
58,25,Kevin Cornelius,Orono High School,Classic,0:18:23.8,3:40 Min/Km,3:08.3,85
59,82,Preston Halleck,Winona HS Nordic Ski Team,Classic,0:18:23.8,3:40 Min/Km,3:08.4,84
60,72,Aj Maijala,CEC Nordic,Classic,0:18:26.2,3:41 Min/Km,3:10.7,83
61,58,Will Steiner,Washburn High School,Classic,0:18:26.9,3:41 Min/Km,3:11.4,82
62,133,Parker Lalonde,ME / VA / EG Nordic Team,Classic,0:18:29.5,3:41 Min/Km,3:14.0,81
63,124,Raymond Brendalen,Hopkins,Classic,0:18:30.6,3:42 Min/Km,3:15.1,
64,99,Joey Quick,Roseville Area High School,Classic,0:18:34.1,3:42 Min/Km,3:18.6,
65,131,Max Gifford,Minnehaha Academy,Classic,0:18:38.0,3:43 Min/Km,3:22.5,
66,79,Matt Pilifant,Superiorland,Classic,0:18:40.6,3:44 Min/Km,3:25.1,
67,87,Jadon Purcell,Elk River/Zimmerman,Classic,0:18:41.0,3:44 Min/Km,3:25.5,76
68,77,Logan Rosholt,Duluth Denfeld High School,Classic,0:18:43.7,3:44 Min/Km,3:28.2,75
69,38,Nick Gutmann,Proctor/Hermantown,Classic,0:18:43.8,3:44 Min/Km,3:28.4,74
70,123,Lars Askegaard,Minnehaha Academy,Classic,0:18:45.4,3:45 Min/Km,3:29.9,
71,150,Noah Struck,Alexandria,Classic,0:18:45.8,3:45 Min/Km,3:30.3,72
72,138,Mike Fraley,Copper Country Ski Tigers,Classic,0:18:50.4,3:46 Min/Km,3:34.9,
73,101,Isaac Lowenthal Walsh,Washburn High School,Classic,0:19:00.2,3:48 Min/Km,3:44.7,70
74,34,Joel Schaefer,Richfield High School,Classic,0:19:03.7,3:48 Min/Km,3:48.3,69
75,119,Frank Gangi,Grand Rapids HS Nordic Ski Team,Classic,0:19:04.4,3:48 Min/Km,3:48.9,
76,116,Jacob Gontjes,Marshall Nordic Ski Team,Classic,0:19:17.1,3:51 Min/Km,4:01.6,67
77,80,Ruben Hatfield,Marquette High School,Classic,0:19:19.3,3:51 Min/Km,4:03.8,66
78,4,Carter Weinzierl,Andover High School,Classic,0:19:24.3,3:52 Min/Km,4:08.8,65
79,98,Jared Celley,ME / VA / EG Nordic Team,Classic,0:19:27.0,3:53 Min/Km,4:11.5,
80,18,Jackson Davis,Chaska and Chanhassen HSs,Classic,0:19:32.4,3:54 Min/Km,4:16.9,63
81,76,Tom Perreria,White Bear Lake,Classic,0:19:35.2,3:55 Min/Km,4:19.7,62
82,106,Soren Davidson,Minnehaha Academy,Classic,0:19:36.6,3:55 Min/Km,4:21.2,
83,68,Ben Wallerstein,Marshall Nordic Ski Team,Classic,0:19:37.6,3:55 Min/Km,4:22.2,
84,84,Chase Eilrich,Ely HS,Classic,0:19:38.5,3:55 Min/Km,4:23.0,59
85,107,Evan Brownton,Minnehaha Academy,Classic,0:19:39.1,3:55 Min/Km,4:23.6,
86,39,Elliot Prusi,Ishpeming Ski Club,Classic,0:19:53.0,3:58 Min/Km,4:37.5,57
87,141,Anthony Hagerty,Anoka High Schoo,Classic,0:19:53.6,3:58 Min/Km,4:38.1,56
,,,,,,,,3
Mesabi East Invitational 2018,,,,,,,,
Boys Varsity,,,,,,,,
Rank,Bib,Name,Team,Technique,Time,Pace,Time Back,Points
88,152,Tommy Saxton,Bemidji High School,Classic,0:19:54.0,3:58 Min/Km,4:38.5,
89,5,Kenneth Peterson,Rogers High School,Classic,0:19:58.1,3:59 Min/Km,4:42.6,54
90,36,Clyde Sellke,Benilde-St. Margaret,Classic,0:19:58.8,3:59 Min/Km,4:43.4,53
91,148,Joe Wolff,Chaska and Chanhassen HSs,Classic,0:20:03.7,4:00 Min/Km,4:48.2,52
92,11,Cj Schlosser,Alexandria,Classic,0:20:07.1,4:01 Min/Km,4:51.6,51
93,122,Myles Gilyard,Coon Rapids High School,Classic,0:20:12.0,4:02 Min/Km,4:56.5,50
94,63,Matthew Oehler,Otter Tail Nordic Ski Association,Classic,0:20:12.1,4:02 Min/Km,4:56.6,49
95,53,Tyler Burkum,Maple Grove Senior High,Classic,0:20:12.5,4:02 Min/Km,4:57.0,48
96,139,Spencer Pierskalla,Cathedral High School,Classic,0:20:12.7,4:02 Min/Km,4:57.2,
97,110,Jack O'connell,Duluth East HS,Classic,0:20:16.5,4:03 Min/Km,5:01.0,
98,88,Alex Lee,Anoka High Schoo,Classic,0:20:17.1,4:03 Min/Km,5:01.6,
99,128,Alex Rice,Brainerd,Classic,0:20:19.1,4:03 Min/Km,5:03.6,
100,69,Riley Will,St Paul Academy & Summit School,Classic,0:20:19.6,4:03 Min/Km,5:04.1,43
101,143,Jacob Horvath,White Bear Lake,Classic,0:20:20.9,4:04 Min/Km,5:05.4,
102,55,Aaron Oakes,Detroit Lakes High School,Classic,0:20:23.7,4:04 Min/Km,5:08.2,41
103,115,Aidan Bremner,Ely HS,Classic,0:20:30.4,4:06 Min/Km,5:14.9,
104,56,Tyler Davis,Rogers High School,Classic,0:20:34.8,4:06 Min/Km,5:19.4,39
105,85,Henry Jaffrey,Orono High School,Classic,0:20:35.2,4:07 Min/Km,5:19.7,38
106,140,Aneesh Syal,Mounds Park Academy,Classic,0:20:35.4,4:07 Min/Km,5:19.9,
107,134,Ryan Sullivan,Wayzata,Classic,0:20:38.0,4:07 Min/Km,5:22.5,
108,91,Caleb Danielson,Otter Tail Nordic Ski Association,Classic,0:20:48.1,4:09 Min/Km,5:32.6,35
109,9,Gavin Schuster,Spring Lake Park/St Anthony HS,Classic,0:20:48.3,4:09 Min/Km,5:32.8,34
110,117,Joe Woychick,Mound Westonka High School,Classic,0:20:50.9,4:10 Min/Km,5:35.5,
111,97,Zach Coughlin,Proctor/Hermantown,Classic,0:20:53.9,4:10 Min/Km,5:38.4,32
112,118,Jonus Blum,Marquette High School,Classic,0:20:56.9,4:11 Min/Km,5:41.4,31
113,17,Seth Potts,Marquette High School,Classic,0:20:59.5,4:11 Min/Km,5:44.0,
114,127,Henry Slater,CEC Nordic,Classic,0:21:13.4,4:14 Min/Km,5:57.9,
115,62,Mitchell Hollman,Chaska and Chanhassen HSs,Classic,0:21:13.9,4:14 Min/Km,5:58.4,
116,47,Luigi Viggiano,Mahtomedi High School,Classic,0:21:15.8,4:15 Min/Km,6:00.3,27
117,89,Shaun Mateer,Alexandria,Classic,0:21:16.0,4:15 Min/Km,6:00.5,
,,,,,,,,4
Mesabi East Invitational 2018,,,,,,,,
Boys Varsity,,,,,,,,
Rank,Bib,Name,Team,Technique,Time,Pace,Time Back,Points
118,40,Andrew Theisen,Apollo High School,Classic,0:21:17.2,4:15 Min/Km,6:01.7,25
119,61,Collin Lief,Spring Lake Park/St Anthony HS,Classic,0:21:27.0,4:17 Min/Km,6:11.6,24
120,109,Danny Zamow,Mounds View High School,Classic,0:21:32.6,4:18 Min/Km,6:17.1,
121,96,Cole Deeeese,Mahtomedi High School,Classic,0:21:33.5,4:18 Min/Km,6:18.0,22
122,125,Angelo Fiataruolo,Orono High School,Classic,0:21:40.9,4:20 Min/Km,6:25.4,
123,142,Ryan Larson,Proctor/Hermantown,Classic,0:21:43.5,4:20 Min/Km,6:28.1,
124,114,Joe Munkeby,Benilde-St. Margaret,Classic,0:22:01.5,4:24 Min/Km,6:46.0,19
125,132,Caiden Hartle,Andover High School,Classic,0:22:11.6,4:26 Min/Km,6:56.2,
126,64,Thomas Kinjorski,Ishpeming Ski Club,Classic,0:22:23.2,4:28 Min/Km,7:07.8,17
127,42,Cole Beattie,Park Center HS,Classic,0:22:36.1,4:31 Min/Km,7:20.6,16
128,100,Drew Accola,Tartan High School,Classic,0:22:38.5,4:31 Min/Km,7:23.0,15
129,146,Evan Lovdahl,Maple Grove Senior High,Classic,0:22:52.9,4:34 Min/Km,7:37.4,
130,108,Andy Huber,Rogers High School,Classic,0:22:59.6,4:35 Min/Km,7:44.1,
131,28,Ian Pawlenty,Tartan High School,Classic,0:23:02.4,4:36 Min/Km,7:46.9,12
132,6,Ethan Haines,Willmar Public Schools,Classic,0:23:08.4,4:37 Min/Km,7:52.9,11
133,149,Andy Lyon,Tartan High School,Classic,0:23:50.2,4:46 Min/Km,8:34.7,
134,137,Mark Droessler,Spring Lake Park/St Anthony HS,Classic,0:23:54.8,4:46 Min/Km,8:39.3,
135,73,Marquis Christenson,Willmar Public Schools,Classic,0:24:24.5,4:52 Min/Km,9:09.0,8
136,136,Alex Gilliam,Marquette High School,Classic,0:24:33.8,4:54 Min/Km,9:18.3,
137,111,Joey Newman,Mahtomedi High School,Classic,0:24:40.7,4:56 Min/Km,9:25.2,
138,102,Sam Meyer,Tartan High School,Classic,0:25:31.0,5:06 Min/Km,10:15.6,
139,70,Johnathan Ernst,Park Center HS,Classic,0:26:25.9,5:17 Min/Km,11:10.4,4
140,50,Ethan Wolff,Apollo High School,Classic,0:26:51.3,5:22 Min/Km,11:35.8,3
141,130,Matt Penrose,Ishpeming Ski Club,Classic,0:27:50.4,5:34 Min/Km,12:34.9,
142,135,Peter Doroff,Apollo High School,Classic,0:33:13.0,6:38 Min/Km,17:57.5,
Number of records: 142,,,,,,,,
,,,,,,,,5
