Mesabi East Invitational 2018,,,,,,,,
Girls Varsity,,,,,,,,
Rank,Bib,Name,Team,Technique,Time,Pace,Time Back,Points
78,665,Jaden Nguyen,Cathedral High School,Freestyle,0:22:53.3,4:34 Min/Km,6:07.2,
79,743,Mickayla Allen,Moorhead High School,Freestyle,0:22:57.4,4:35 Min/Km,6:11.2,
80,751,Phoebe Schwartz,Washburn High School,Freestyle,0:22:59.5,4:35 Min/Km,6:13.4,
81,691,Damaris Berg,Bemidji High School,Freestyle,0:23:00.1,4:36 Min/Km,6:14.0,55
82,659,Aurora Weirens,Mounds View High School,Freestyle,0:23:00.3,4:36 Min/Km,6:14.2,54
83,617,Lauren Loppnow,White Bear Lake,Freestyle,0:23:02.4,4:36 Min/Km,6:16.3,
84,750,Madison Mitzuk,Elk River/Zimmerman,Freestyle,0:23:05.4,4:37 Min/Km,6:19.3,
85,706,Nalia Petersen,Heritage/Providence Nordic,Freestyle,0:23:06.4,4:37 Min/Km,6:20.3,
86,632,Tessah Green,St Paul Academy & Summit School,Freestyle,0:23:10.5,4:38 Min/Km,6:24.3,50
87,695,Sammy Borzick,Superiorland,Freestyle,0:23:11.2,4:38 Min/Km,6:25.1,49
,,,,,,,,3
Mesabi East Invitational 2018,,,,,,,,
Girls Varsity,,,,,,,,
Rank,Bib,Name,Team,Technique,Time,Pace,Time Back,Points
88,714,Sarah Pollock,Bemidji High School,Freestyle,0:23:15.9,4:39 Min/Km,6:29.8,
89,645,Laura Christianson,Willmar Public Schools,Freestyle,0:23:20.7,4:40 Min/Km,6:34.5,47
90,701,Britta Larson,Anoka High Schoo,Freestyle,0:23:23.9,4:40 Min/Km,6:37.8,
91,629,Gabby Law,Mounds Park Academy,Freestyle,0:23:35.7,4:43 Min/Km,6:49.6,45
92,646,Izzy Haberman,Coon Rapids High School,Freestyle,0:23:38.5,4:43 Min/Km,6:52.3,44
93,724,Mickenna Affolter,Mahtomedi High School,Freestyle,0:23:39.1,4:43 Min/Km,6:52.9,43
94,753,Isabelle Rockstad,Moorhead High School,Freestyle,0:23:42.3,4:44 Min/Km,6:56.2,
95,670,Lauren Lachenmayer,Mound Westonka High School,Freestyle,0:23:43.2,4:44 Min/Km,6:57.0,41
96,729,Lindy Dalberg,Ely HS,Freestyle,0:23:50.8,4:46 Min/Km,7:04.7,
97,742,Lily Provenzano,Hopkins,Freestyle,0:24:00.6,4:48 Min/Km,7:14.4,39
98,681,Maddy Marquett,Little Falls High School,Freestyle,0:24:02.9,4:48 Min/Km,7:16.7,38
99,733,Cassidy O'meara,Moorhead High School,Freestyle,0:24:05.7,4:49 Min/Km,7:19.5,
100,634,Rachel Mummah,Park Center HS,Freestyle,0:24:07.2,4:49 Min/Km,7:21.1,36
101,699,Parker Cook,Willmar Public Schools,Freestyle,0:24:08.3,4:49 Min/Km,7:22.2,35
102,730,Camilla Johnson,Little Falls High School,Freestyle,0:24:21.0,4:52 Min/Km,7:34.8,
103,737,Emily Saumer,Grand Rapids HS Nordic Ski Team,Freestyle,0:24:30.8,4:54 Min/Km,7:44.6,
104,662,Lauren Dieperink,St Paul Academy & Summit School,Freestyle,0:24:43.1,4:56 Min/Km,7:57.0,32
105,719,Jenna Halverson,Mahtomedi High School,Freestyle,0:24:48.1,4:57 Min/Km,8:02.0,31
106,705,Liesl Schreiner,Edina High School,Freestyle,0:24:58.8,4:59 Min/Km,8:12.7,
107,711,Autumn Drotts,Deer River High School,Freestyle,0:24:59.4,4:59 Min/Km,8:13.3,29
108,744,Ina Poecher,Mounds View High School,Freestyle,0:24:59.8,4:59 Min/Km,8:13.7,
109,715,Kallie Smith,Maple Grove Senior High,Freestyle,0:25:00.8,5:00 Min/Km,8:14.6,27
110,683,Lily Engebretson,Mahtomedi High School,Freestyle,0:25:27.2,5:05 Min/Km,8:41.1,
111,650,Ally Hammann,Maple Grove Senior High,Freestyle,0:25:30.1,5:06 Min/Km,8:43.9,25
112,716,Makayla Fischer,Mahtomedi High School,Freestyle,0:25:32.7,5:06 Min/Km,8:46.6,
113,741,Nicole Dorn,Benilde-St. Margaret,Freestyle,0:25:32.7,5:06 Min/Km,8:46.6,
114,644,Molly Schoephoerster,Mound Westonka High School,Freestyle,0:25:33.6,5:06 Min/Km,8:47.5,22
115,707,Sarah Eichstadt,Coon Rapids High School,Freestyle,0:25:34.6,5:06 Min/Km,8:48.5,
116,708,Emma Kelly,Heritage/Providence Nordic,Freestyle,0:25:54.4,5:10 Min/Km,9:08.3,
117,752,Brita Mowers,CEC Nordic,Freestyle,0:26:05.2,5:13 Min/Km,9:19.1,
,,,,,,,,4
Mesabi East Invitational 2018,,,,,,,,
Girls Varsity,,,,,,,,
Rank,Bib,Name,Team,Technique,Time,Pace,Time Back,Points
118,710,Brynn Boessen,Spring Lake Park/St Anthony HS,Freestyle,0:26:08.4,5:13 Min/Km,9:22.3,18
119,666,Christy Heroux,Maple Grove Senior High,Freestyle,0:26:13.3,5:14 Min/Km,9:27.2,
120,626,Talon Prusi,Ishpeming Ski Club,Freestyle,0:26:37.6,5:19 Min/Km,9:51.5,16
121,642,Maggie Ringsmuth,Apollo High School,Freestyle,0:26:46.9,5:21 Min/Km,10:00.8,15
122,676,Rachel Warner,Apollo High School,Freestyle,0:26:53.0,5:22 Min/Km,10:06.9,14
123,713,Autumn Smith,TH/Cook County HS,Freestyle,0:27:42.4,5:32 Min/Km,10:56.3,13
124,735,Jenna Wicht,Heritage/Providence Nordic,Freestyle,0:27:57.4,5:35 Min/Km,11:11.2,
125,693,Lily Saddoris,Spring Lake Park/St Anthony HS,Freestyle,0:28:26.0,5:41 Min/Km,11:39.8,11
126,739,Aspen Huddleston,TH/Cook County HS,Freestyle,0:28:32.0,5:42 Min/Km,11:45.9,10
127,673,Bailey Massicotte,Park Center HS,Freestyle,0:29:02.0,5:48 Min/Km,12:15.9,9
128,712,Morgan Bell,Heritage/Providence Nordic,Freestyle,0:29:35.9,5:55 Min/Km,12:49.7,
129,745,Katie Mcconkey,Detroit Lakes High School,Freestyle,0:30:01.7,6:00 Min/Km,13:15.6,7
130,692,Luisa Walz,Detroit Lakes High School,Freestyle,0:31:18.3,6:15 Min/Km,14:32.1,6
131,731,Hannah Bautch,Park Center HS,Freestyle,0:32:09.6,6:25 Min/Km,15:23.5,
132,723,Madie Heine,Proctor/Hermantown,Freestyle,0:32:57.9,6:35 Min/Km,16:11.7,
133,722,Bethaney Gnopp,Apollo High School,Freestyle,0:32:58.5,6:35 Min/Km,16:12.4,
134,704,Lexi Lundeen,Detroit Lakes High School,Freestyle,0:34:50.1,6:58 Min/Km,18:04.0,
135,709,Isabelle Pippert,Simley High School,Freestyle,0:35:36.4,7:07 Min/Km,18:50.3,1
Number of records: 135,,,,,,,,
,,,,,,,,5
